INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID90872415	DSSTox_Substance_Id	DTXSID90872415	Arsenic & Arsenic Compounds	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90872475	DSSTox_Substance_Id	DTXSID90872475	Nicotinamide ascorbate	C12H14N2O7	298.251	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90872576	DSSTox_Substance_Id	DTXSID90872576	Potassium metaphosphate	KO3P	118.069	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90872591	DSSTox_Substance_Id	DTXSID90872591	Ethoxylated C8-22 alcohols	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90872778	DSSTox_Substance_Id	DTXSID90872778	3,3'-[(2-Methylpropyl)phosphoryl]di(propan-1-ol)	C10H23O3P	222.265	1.84741e-11	2.21826	6.10238	303.86	8.04532e-08	0.505201	8.35865	88.6701	1.7244	100.768	1.18928e-07	0.235964
DTXSID90872793	DSSTox_Substance_Id	DTXSID90872793	2,2'-[(1-Methylethylidene)bis[(dibromo-4,1-phenylene)oxymethylene]]bis[oxirane]-4,4'-(1-methylethylidene)bis[2,6-dibromophenol] copolymer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90872798	DSSTox_Substance_Id	DTXSID90872798	2,4-(or 2,6)-Dibromophenol, homopolymer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90872955	DSSTox_Substance_Id	DTXSID90872955	Aluminum trisodium hexafluoride	AlF6Na3	209.9412653	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90872970	DSSTox_Substance_Id	DTXSID90872970	2-[(1-Methoxypropan-2-yl)oxy]propan-1-ol	C7H16O3	148.202	4.7103e-11	3.99827	4.2857	186.161	3.62085e-09	0.099784	5.68881	20.7685	0.419794	-43.053	0.361359	3.34312
DTXSID90873407	DSSTox_Substance_Id	DTXSID90873407	Polyethylene glycol monophenyl ether	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90873462	DSSTox_Substance_Id	DTXSID90873462	Sodium nonanoate	C9H17NaO2	180.223	1.14073e-11	2.98606	4.98751	254.606	1.68863e-06	0.244636	7.78065	309.048	-0.350087	175.085	0.00165274	0.00179067
DTXSID90873467	DSSTox_Substance_Id	DTXSID90873467	Heptadecanenitrile	C17H33N	251.458	3.0537e-11	814.662	18.9541	348.949	4.685e-07	10.0273	8.64788	1863.3	7.52446	33.8937	0.000117476	5.36582e-09
DTXSID90873482	DSSTox_Substance_Id	DTXSID90873482	Hexanitrohexaazaisowurtzitane	C6H6N12O12	438.186	8.95211e-13	1.3586	207.935	285.51	2.0891e-09	2.42365	7.41846	44105.3	0.0723859	168.83	1.62862e-10	8.34827e-06
DTXSID90873785	DSSTox_Substance_Id	DTXSID90873785	10-Hydroxyamitriptyline	C20H23NO	293.41	2.9112e-11	195.551	8.11621	384.086	9.14299e-10	3.7587	11.0086	2014.39	3.26283	65.3468	1.47542e-09	1.87263e-05
DTXSID90873902	DSSTox_Substance_Id	DTXSID90873902	Phosphinic acid	H3O2P	65.996	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90873967	DSSTox_Substance_Id	DTXSID90873967	Poly(oxy-​1,​2-​ethanediyl)​, alpha-​hydro-​omega-​hydroxy-​, mono-​C6-​12-​alkyl ethers, phosphates	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90876998	DSSTox_Substance_Id	DTXSID90876998	D-Fructose, 3-O-.alpha.-D-glucopyranosyl-	C12H22O11	342.297	1.45923e-11	2.13369	4.5967	313.108	2.1958e-11	0.143557	9.56662	47.5038	-2.99331	168.105	4.80548e-11	1.60392
DTXSID90878679	DSSTox_Substance_Id	DTXSID90878679	ERGOSTEROL	C28H44O	396.659	1.43762e-10	3100.25	100.536	386.677	3.07432e-08	13.8393	10.3803	90945.6	8.28665	127.507	1.87678e-08	1.29892e-05
DTXSID90879242	DSSTox_Substance_Id	DTXSID90879242	Ethanol, 2,2'-oxybis-, diacetate	C8H14O5	190.195	5.17532e-12	1.74782	4.13526	200.128	2.96556e-08	0.481648	5.0552	14.368	0.308051	17.8941	0.0156398	0.23063
DTXSID90879787	DSSTox_Substance_Id	DTXSID90879787	Direct Red 23	C35H25N7Na2O10S2	813.72	8.2953e-11	5.83251	22.7438	317.318	1.4104e-11	0.229653	9.58444	135807.0	3.43113	179.372	1.7505e-07	0.137034
DTXSID90880131	DSSTox_Substance_Id	DTXSID90880131	1H,1H,5H-Perfluoropentyl methacrylate	C9H8F8O2	300.148	3.55388e-11	2.64661	4.46771	115.403	4.49688e-05	0.168409	3.4881	212.005	2.78083	-10.6007	0.438851	0.00434107
DTXSID90880156	DSSTox_Substance_Id	DTXSID90880156	1-Iodo-1H,1H,2H,2H-perfluorononane	C9H4F15I	524.012	2.61435e-14	1688.57	4.9551	159.645	0.00104977	1.29751	3.86929	35337.9	6.04272	2.98522	0.113775	9.64812e-06
DTXSID90880176	DSSTox_Substance_Id	DTXSID90880176	3,5,6-Trichloroperfluorohexanoic acid	C6HCl3F8O2	363.41	3.99053e-13	9.54303	3.54088	182.707	2.44706e-10	0.841884	6.18296	2604.63	4.51018	17.2906	0.211329	0.0805553
DTXSID90880232	DSSTox_Substance_Id	DTXSID90880232	Ammonium perfluorohexanoate	C6H4F11NO2	331.085	8.59366e-13	5.47264	4.46951	168.392	2.35462e-10	0.345396	3.82725	1066.8	2.03544	39.1946	0.903417	9.10797e-05
DTXSID90880419	DSSTox_Substance_Id	DTXSID90880419	N,N-Bis(2-hydroxyethyl)hexadecanamide	C20H41NO3	343.552	1.73121e-11	597.547	5.83534	337.129	1.07174e-10	0.197514	9.42886	13193.6	4.27502	40.4891	9.92448e-09	0.0087756
DTXSID90880454	DSSTox_Substance_Id	DTXSID90880454	Trimethyl-3-(perfluorohexyl)sulphonylaminopropylammonium chloride	C12H16ClF13N2O2S	534.76	1.47382e-11	6.15739	4.94017	215.335	1.93576e-10	3.03169	6.7546	1787.7	2.80049	77.2885	8.60441e-05	3.70058e-06
DTXSID90880555	DSSTox_Substance_Id	DTXSID90880555	5-Iodoperfluoro-3-oxapentanesulfonyl fluoride	C4F9IO3S	425.99	2.07197e-15	2.58516	4.29132	141.74	0.00143994	0.147567	3.73671	1986.13	3.32806	-18.4082	0.0115017	0.000944708
DTXSID90880631	DSSTox_Substance_Id	DTXSID90880631	octane, 2-bromo-	C8H17Br	193.128	1.00494e-11	509.883	3.788	184.421	0.00982969	1.83744	4.4405	231.557	4.61424	-29.5298	0.689448	1.32547e-05
DTXSID90880651	DSSTox_Substance_Id	DTXSID90880651	2-pentene, 4-methyl-, (z)-	C6H12	84.162	6.05213e-11	50.7296	4.04849	58.968	0.235536	0.835003	2.93793	122.704	3.06809	-130.403	218.89	0.000733781
DTXSID90880833	DSSTox_Substance_Id	DTXSID90880833	4-nonenal, (e)-	C9H16O	140.226	6.60474e-11	164.264	4.49945	190.849	0.000403136	1.1149	4.45104	117.468	3.1931	-6.65937	0.3777	0.00282792
DTXSID90880939	DSSTox_Substance_Id	DTXSID90880939	3-((Perfluorohexylsulfonyl)amino)-N,N,N-trimethyl-1-propanaminium iodide	C12H16F13IN2O2S	626.22	1.47382e-11	6.15739	4.94017	215.335	1.93576e-10	3.03169	6.7546	1787.7	1.02255	164.627	8.60441e-05	3.70058e-06
DTXSID90880974	DSSTox_Substance_Id	DTXSID90880974	1-Butene, 4-bromo-3,3,4,4-tetrafluoro-, polymer with 1,1-difluoroethene, 1,1,2,3,3,3-hexafluoro-1-propene and tetrafluoroethene	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90880979	DSSTox_Substance_Id	DTXSID90880979	(Perfluoro-n-octyl)ethane	C10H5F17	448.123	2.59328e-14	1002.79	4.07525	146.428	6.37552e-05	5.81529	2.86582	8777.23	4.9289	-27.2863	413.537	2.21715e-06
DTXSID90881067	DSSTox_Substance_Id	DTXSID90881067	8:2 Fluorotelomer diammonium phosphate	C10H12F17N2O4P	578.163	6.84804e-15	2.47156	3.6796	208.987	1.46957e-11	2.07419	7.9277	1204.84	4.98887	209.169	0.000124406	0.0117932
DTXSID90881249	DSSTox_Substance_Id	DTXSID90881249	Pantolactone	C6H10O3	130.143	1.0363e-11	4.44916	4.28878	211.774	6.68732e-09	0.148707	5.68987	72.8085	0.0355054	91.8788	0.0853793	2.47907
DTXSID90881284	DSSTox_Substance_Id	DTXSID90881284	Methyl perfluoro(8-(fluoroformyl)-5-methyl-4,7-dioxanonanoate)	C10H3F15O5	488.105	8.05727e-13	3.48027	4.61659	142.351	3.39161e-08	6.74996	3.95416	285.643	4.52826	-9.30965	0.00772507	5.48226e-06
DTXSID90881345	DSSTox_Substance_Id	DTXSID90881345	3-[(Perfluorooctane-1-sulfonyl)amino]-N,N-dimethylpropan-1-amine N-oxide potassium	C13H12F17KN2O3S	638.38	1.47011e-11	173.789	4.9623	217.682	1.78195e-11	2.16349	7.8405	125648.0	2.23334	138.235	0.000147021	1.29115e-06
DTXSID90881406	DSSTox_Substance_Id	DTXSID90881406	C.I. Acid Yellow 42	C32H24N8Na2O8S2	758.69	1.06018e-10	5.34054	13.5312	313.831	1.2572e-09	1.3107	9.74432	31251.0	3.79757	172.396	1.34035e-07	0.0579533
DTXSID90881840	DSSTox_Substance_Id	DTXSID90881840	1-Butanesulfonic acid, 1,1,2,2,3,3,4,4,4-nonafluoro-, salt with sulfonium, dimethylphenyl- (1:1)	C12H11F9O3S2	438.32	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90881901	DSSTox_Substance_Id	DTXSID90881901	Thiols, C4-10, .gamma.-.omega.-perfluoro-  (Perfluoroalkyl (C2-C8)ethyl mercaptan)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90881906	DSSTox_Substance_Id	DTXSID90881906	Thiols, C10-20, .gamma.-.omega.-perfluoro  (Perfluoroalkyl(C8-18)ethyl mercaptan)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90881966	DSSTox_Substance_Id	DTXSID90881966	Thiocyanic acid, .gamma.-.omega.-perfluoro-C4-20-alkyl esters	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90882579	DSSTox_Substance_Id	DTXSID90882579	POLYFLGSID_882579	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90882731	DSSTox_Substance_Id	DTXSID90882731	Ethanesulfonyl fluoride, 2-[1-[difluoro][(1,2,2-trifluoroethenyl)oxy]methyl]-1,2,2,2-tetrafluoroethoxy]-1,1,2,2-tetrafluoro-, polymer with 1,1,2,2-tetrafluoroethene, hydrolyzed, potassium salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90882938	DSSTox_Substance_Id	DTXSID90882938	Propane, 1,1,1,2,2,3,3-heptafluoro-3-[(trifluoroethenyl)oxy]-, polymer with tetrafluoroethene and trifluoro(trifluoromethoxy)ethane	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90882993	DSSTox_Substance_Id	DTXSID90882993	Poly(difluoromethylene), .alpha.-[2-(acetyloxy)-3-[(carboxymethyl)dimethylammonio]propyl]-.omega.-fluoro-, inner salt	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90883046	DSSTox_Substance_Id	DTXSID90883046	1,3-Propanediol, 2,2-bis[[(gamma-omega-perfluoro-C6-12-alkyl)thio]methyl] derivs., phosphates, ammonium salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90883061	DSSTox_Substance_Id	DTXSID90883061	Poly(oxy-1,2-ethanediyl), .alpha.-[2-[ethyl[(perfluoroheptyl)sulfonyl]amino]ethyl]-.omega.-methoxy-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90883081	DSSTox_Substance_Id	DTXSID90883081	Poly(oxy-1,2-ethanediyl), .alpha.-[2-[ethyl[(perfluoropentyl)sulfonyl]amino]ethyl]-.omega.-hydroxy-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90883086	DSSTox_Substance_Id	DTXSID90883086	Poly(difluoromethylene), .alpha.-[2-[(2-carboxyethyl)thio]ethyl]-.omega.-fluoro-, lithium salt (1:1)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90883107	DSSTox_Substance_Id	DTXSID90883107	2,2'-Methylenedi(phenyl isocyanate)	C15H10N2O2	250.257	1.15619e-11	65.6236	4.54064	322.324	9.30443e-08	1.95808	7.57248	143.527	2.8672	58.153	9.59467e-07	7.22912e-05
DTXSID90883167	DSSTox_Substance_Id	DTXSID90883167	Neryl propionate	C13H22O2	210.317	1.53519e-10	65.0352	5.16452	252.947	6.13272e-05	0.536466	6.62811	878.966	4.37603	-46.3967	0.0492544	0.000244211
DTXSID90883187	DSSTox_Substance_Id	DTXSID90883187	9-Octadecenoic acid (9Z)-, barium salt (2:1)	C36H66BaO4	700.247	4.94406e-11	93.3063	5.3554	359.986	6.05302e-08	0.910033	10.6121	2355.33	0.988409	197.934	1.39009e-06	4.34358e-08
DTXSID90883223	DSSTox_Substance_Id	DTXSID90883223	9-Octadecenoic acid, 12-hydroxy-, 3-hydroxy-2,2-bis(hydroxymethyl)propyl ester, (9Z,12R)-	C23H44O6	416.599	6.16684e-11	55.552	3.53911	378.031	7.37455e-12	0.194136	9.43186	13950.3	3.95338	110.556	4.32334e-09	8.16722e-05
DTXSID90883248	DSSTox_Substance_Id	DTXSID90883248	Benzenamine, N,N,4-trimethyl-, N-oxide	C9H13NO	151.209	1.27479e-12	14.7814	5.04483	199.692	4.6911e-05	0.117766	4.12734	2114.51	1.02672	24.0564	0.141981	0.00330069
DTXSID90883263	DSSTox_Substance_Id	DTXSID90883263	3H-Indol-3-one, 5-bromo-2-(5-bromo-1,3-dihydro-3-oxo-2H-indol-2-ylidene)-1,2-dihydro-	C16H8Br2N2O2	420.06	1.14587e-10	14.3112	49.2244	405.078	1.07174e-08	2.21624	10.4569	298.251	2.57765	167.295	1.98755e-09	0.0016564
DTXSID90883288	DSSTox_Substance_Id	DTXSID90883288	1-Piperidinecarbodithioic acid, compd. with piperidine (1:1)	C11H22N2S2	246.43	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90883304	DSSTox_Substance_Id	DTXSID90883304	Oleic acid isopropanolamide	C21H41NO2	339.564	6.1451e-11	799.732	4.61886	342.46	3.41195e-08	0.193134	9.41515	13656.8	6.29045	102.064	8.19224e-08	0.000152466
DTXSID90883309	DSSTox_Substance_Id	DTXSID90883309	Quinolinium, 2-[2-[4-(dimethylamino)phenyl]ethenyl]-1-ethyl-, iodide (1:1)	C21H23IN2	430.333	2.79295e-11	325.13	3.64488	353.04	1.50501e-06	2.21631	10.9321	4179.27	1.27365	214.217	1.09647e-07	0.000149341
DTXSID90883329	DSSTox_Substance_Id	DTXSID90883329	Butanedioic acid, calcium salt (1:1)	C4H4CaO4	156.15	2.54629e-12	3.89367	5.96871	316.541	8.84113e-09	0.123462	7.21213	19.4164	-1.86262	145.188	1.94964e-07	0.9167
DTXSID90883344	DSSTox_Substance_Id	DTXSID90883344	Ethanaminium, 2-hydroxy-N,N,N-tris(2-hydroxyethyl)-, hydroxide (1:1)	C8H21NO5	211.258	2.76852e-11	1.48613	3.67668	313.955	4.28348e-11	0.116518	8.18107	51.248	-1.46496	84.9166	8.24831e-08	1.37385
DTXSID90883369	DSSTox_Substance_Id	DTXSID90883369	D-Methionine	C5H11NO2S	149.21	1.10852e-11	4.19619	4.5545	251.039	1.60362e-07	0.100788	7.86196	22.5825	-1.86786	219.559	0.000394718	0.347237
DTXSID90883405	DSSTox_Substance_Id	DTXSID90883405	Naphthalene, decahydro-, trans-	C10H18	138.254	2.01789e-11	1749.76	43.1191	179.544	0.0382869	8.09021	4.83658	4672.99	4.70154	-33.9191	0.764833	1.21871e-05
DTXSID90883440	DSSTox_Substance_Id	DTXSID90883440	3-Amino-7-dimethylamino-2-methylphenazine hydrochloride	C15H17ClN4	288.78	1.65639e-11	14.4337	6.11156	337.705	6.00968e-08	0.465567	10.9011	868.66	0.916705	150.128	3.19378e-10	0.000969268
DTXSID90883445	DSSTox_Substance_Id	DTXSID90883445	Phenothiazin-5-ium, 3,7-diamino-, chloride (1:1)	C12H10ClN3S	263.74	2.52444e-11	8.99269	77.1661	359.333	1.7664e-07	0.27357	9.17848	1653.85	-1.25213	217.367	2.67652e-08	0.0368735
DTXSID90883460	DSSTox_Substance_Id	DTXSID90883460	Carbonic acid, lead(2+) salt (1:1)	CH2O3Pb	269.2	2.50079e-14	4.92728	7.57763	299.147	3.7792e-09	0.142856	6.36654	3.85959	-1.62255	236.114	0.0105684	0.0170393
DTXSID90883465	DSSTox_Substance_Id	DTXSID90883465	Quinolinium, 1-ethyl-2-methyl-, iodide (1:1)	C12H14IN	299.155	1.82889e-11	213.877	3.64244	271.142	0.000530634	5.47982	6.9077	3685.8	-1.23874	169.403	0.00541908	0.000374124
DTXSID90883480	DSSTox_Substance_Id	DTXSID90883480	12-Aminododecanoic acid	C12H25NO2	215.337	1.30433e-11	37.7309	7.54525	312.305	1.90592e-07	0.154801	8.14166	575.178	3.36082	184.019	5.13362e-06	0.00439371
DTXSID90883506	DSSTox_Substance_Id	DTXSID90883506	Acetamide, N-(3-aminophenyl)-, hydrochloride (1:1)	C8H11ClN2O	186.64	1.29008e-11	12.689	3.54638	277.589	8.73369e-10	0.14864	8.07579	43.123	-1.44299	192.919	8.52644e-05	0.0554463
DTXSID90883521	DSSTox_Substance_Id	DTXSID90883521	Hydrazine, (4-methylphenyl)-, hydrochloride (1:1)	C7H11ClN2	158.63	5.30269e-11	3.74909	3.0888	251.123	5.08694e-08	0.115708	7.58222	51.3533	-1.08432	165.671	0.00194697	0.540012
DTXSID90883541	DSSTox_Substance_Id	DTXSID90883541	2-Naphthalenesulfonic acid, 6-amino-3-[2-[4-[2-(4-aminophenyl)diazenyl]-2-methoxy-5-methylphenyl]diazenyl]-4-hydroxy-, sodium salt (1:1)	C24H21N6NaO5S	528.52	2.99308e-11	12.8379	48.0905	327.521	2.60783e-10	0.192408	9.46609	158459.0	3.27671	229.509	1.71373e-08	8.11755e-05
DTXSID90883561	DSSTox_Substance_Id	DTXSID90883561	Silane, ethyldimethyl-	C4H12Si	88.225	1.98239e-12	17.9109	32.3592	45.8732	0.548796	0.214171	2.18655	1549.44	2.74894	-35.735	34.8265	0.000990201
DTXSID90883581	DSSTox_Substance_Id	DTXSID90883581	Phosphonium, butyltriphenyl-, bromide (1:1)	C22H24BrP	399.312	1.56788e-11	683.017	-	402.085	7.12724e-07	2.62589	11.7651	-	-0.983107	178.213	6.98382e-06	3.78081e-07
DTXSID90883602	DSSTox_Substance_Id	DTXSID90883602	Cholest-5-ene, 3-chloro-, (3.beta.)-	C27H45Cl	405.11	3.16611e-11	1678.26	256.955	421.554	2.46654e-07	29.5177	11.747	97195.3	9.03744	72.3404	2.91379e-08	1.25886e-08
DTXSID90883607	DSSTox_Substance_Id	DTXSID90883607	Magnesium, bromoethyl-	C2H5BrMg	133.271	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90883627	DSSTox_Substance_Id	DTXSID90883627	1,1'-Diethyl-2,2'-cyanine iodide	C23H23IN2	454.355	3.00154e-11	558.344	39.7776	408.009	2.70697e-08	2.98584	11.7064	5207.66	1.38664	219.098	2.00991e-08	3.84266e-06
DTXSID90883642	DSSTox_Substance_Id	DTXSID90883642	Silane, hexyl-	C6H16Si	116.279	3.16191e-11	62.2148	-	118.244	0.00277946	0.307922	3.08957	-	3.08602	-59.0814	45.0491	0.00071825
DTXSID90883647	DSSTox_Substance_Id	DTXSID90883647	Octadecanoic acid, 2-sulfo-	C18H36O5S	364.54	1.8371e-11	15.5814	5.90381	321.954	1.51715e-08	0.186105	9.36139	13815.3	6.57969	183.842	3.1138e-09	0.00162061
DTXSID90883662	DSSTox_Substance_Id	DTXSID90883662	Germane, trichloro-	Cl3GeH	179.99	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90883667	DSSTox_Substance_Id	DTXSID90883667	1H-Pyrrole-2,5-dione, 1-(2,6-dimethylphenyl)-	C12H11NO2	201.225	4.28297e-11	14.075	3.5484	316.215	1.28455e-06	0.23893	8.94959	78.9281	0.664173	96.723	1.81904e-06	4.06013e-05
DTXSID90883687	DSSTox_Substance_Id	DTXSID90883687	Phosphonium, ethyltriphenyl-, bromide (1:1)	C20H20BrP	371.258	2.14035e-11	674.628	-	368.665	1.21315e-06	2.50254	10.099	-	-1.78994	178.319	1.81261e-06	5.52986e-07
DTXSID90883703	DSSTox_Substance_Id	DTXSID90883703	Benzene, 1,1'-(chlorosilylene)bis-	C12H11ClSi	218.76	2.93071e-11	1439.59	265.24	305.081	0.000573989	12.854	6.68142	511.392	4.33029	25.6289	0.0651262	4.5017e-05
DTXSID90883708	DSSTox_Substance_Id	DTXSID90883708	L-Glutamic acid, 5-(phenylmethyl) ester	C12H15NO4	237.255	1.17878e-11	3.27274	3.5358	303.315	4.50691e-10	0.107066	8.18461	169.239	-0.417663	197.951	6.88836e-10	0.106474
DTXSID90883723	DSSTox_Substance_Id	DTXSID90883723	Silanol, 1,1,1-trimethyl-, 1-acetate	C5H12O2Si	132.234	3.03485e-12	4.16319	14.0042	105.46	0.000628483	0.0970091	2.81347	35.4181	2.00324	-71.3724	17.9378	0.019143
DTXSID90883743	DSSTox_Substance_Id	DTXSID90883743	3-Hepten-1-ol, (3Z)-	C7H14O	114.188	6.3966e-11	8.0222	3.55277	177.038	9.07148e-06	0.131845	4.93976	22.076	1.9507	-38.4396	0.141625	0.0566957
DTXSID90883768	DSSTox_Substance_Id	DTXSID90883768	Hydrazinyl, 2,2-diphenyl-1-(2,4,6-trinitrophenyl)-	C18H12N5O6	394.323	1.05283e-11	1052.01	21.1751	340.864	1.20425e-09	0.378987	10.4137	5482.13	3.06022	164.607	2.65611e-11	1.43472e-06
DTXSID90883804	DSSTox_Substance_Id	DTXSID90883804	Methanaminium, N-[4-[[4-(dimethylamino)phenyl][4-(ethylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, chloride (1:1)	C29H32ClN3	458.05	6.26073e-11	637.5	18.2955	397.361	2.18723e-08	1.69324	10.2253	52289.4	2.09155	176.074	5.32233e-10	4.66558e-06
DTXSID90883824	DSSTox_Substance_Id	DTXSID90883824	L-Asparagine, N2-[(phenylmethoxy)carbonyl]-	C12H14N2O5	266.253	2.18047e-11	4.96812	3.52936	281.313	5.24117e-11	0.134785	9.24045	86.7804	-1.19008	202.781	9.13399e-10	0.0174212
DTXSID90883844	DSSTox_Substance_Id	DTXSID90883844	3,5-Cyclohexadiene-1,2-dione, 3,4,5,6-tetrachloro-	C6Cl4O2	245.86	3.94174e-13	19.4137	3.06952	280.396	0.000135133	6.35604	7.43578	228.124	2.01986	202.58	9.03108e-05	0.00585076
DTXSID90883864	DSSTox_Substance_Id	DTXSID90883864	2,6-Octadiene, 1-methoxy-3,7-dimethyl-, (2E)-	C11H20O	168.28	2.22409e-10	32.5071	4.65481	206.594	0.000838246	2.09414	5.19548	283.971	2.95281	-53.7565	1.02777	0.00371915
DTXSID90883869	DSSTox_Substance_Id	DTXSID90883869	1,4-Cyclohexanediamine, trans-	C6H14N2	114.192	1.53747e-11	3.73531	6.51045	195.223	7.63654e-08	0.0929076	7.58927	31.3519	-1.44002	21.2397	0.197494	6.79115
DTXSID90883905	DSSTox_Substance_Id	DTXSID90883905	Methanol, 1-(trimethylsilyl)-, 1-acetate	C6H14O2Si	146.261	6.97094e-12	3.95107	57.6278	122.28	0.000300163	0.0745068	3.17453	49.4838	3.23637	-66.9496	13.4402	0.0112958
DTXSID90883920	DSSTox_Substance_Id	DTXSID90883920	3-Piperidinol, 1-methyl-	C6H13NO	115.176	2.13015e-11	3.68652	4.86384	192.028	5.36595e-07	0.0835274	4.89808	66.4186	0.514978	39.7952	0.0587856	8.12841
DTXSID90883925	DSSTox_Substance_Id	DTXSID90883925	Cyclohexane, 1,2-dibromo-	C6H10Br2	241.954	3.67902e-12	340.083	25.9959	226.531	0.000254325	0.330929	5.0043	904.153	3.36899	34.2174	1.67826	0.000242073
DTXSID90883945	DSSTox_Substance_Id	DTXSID90883945	Sulfonium, trimethyl-, bromide (1:1)	C3H9BrS	157.07	8.83559e-12	5.12206	16.8836	67.2244	0.18757	0.22011	2.28206	31.9324	-2.44801	139.158	110.605	0.0557793
DTXSID90884013	DSSTox_Substance_Id	DTXSID90884013	Benzenesulfonamide, 4-methyl-N-[2-(4-oxo-4H-3,1-benzoxazin-2-yl)phenyl]-	C21H16N2O4S	392.43	1.76671e-11	17.9783	4.25462	385.645	1.43684e-11	0.61431	10.2987	765.577	3.10978	190.806	3.75203e-08	2.04119e-05
DTXSID90884033	DSSTox_Substance_Id	DTXSID90884033	Butanamide, 2-[2-(2-nitrophenyl)diazenyl]-3-oxo-N-phenyl-	C16H14N4O4	326.312	2.2232e-11	23.4664	3.54352	333.955	3.95257e-10	0.439122	10.7938	2758.48	2.83561	182.832	1.41562e-10	4.98776e-06
DTXSID90884038	DSSTox_Substance_Id	DTXSID90884038	Benzenesulfonic acid, 4-methyl-, ammonium salt (1:1)	C7H11NO3S	189.23	2.32353e-12	5.4017	4.97523	291.954	1.34127e-08	0.115677	7.71324	73.5089	-1.95696	78.8485	8.87098e-07	3.59185
DTXSID90884073	DSSTox_Substance_Id	DTXSID90884073	Benzamide, N,N'-(14-chloro-5,6,7,12,13,17,22,23,25,28-decahydro-5,7,12,17,22,25,28-heptaoxonaphtho[2,3-c]bisnaphth[2',3':6,7]indolo[3,2-a:3',2'-i]acridine-1,18-diyl)bis-	C63H30ClN5O9	1036.41	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID90884093	DSSTox_Substance_Id	DTXSID90884093	Phosphoric acid, monooctadecyl ester, zinc salt (1:1)	C18H37O4PZn	413.84	1.75274e-11	15.676	4.82899	318.137	7.0419e-08	0.194235	9.42426	12939.4	0.704298	135.858	3.19797e-09	0.00425493
DTXSID90884098	DSSTox_Substance_Id	DTXSID90884098	3H-Indolium, 1,3,3-trimethyl-2-[2-(1-methyl-2-phenyl-1H-indol-3-yl)ethenyl]-, chloride (1:1)	C28H27ClN2	426.99	2.99542e-11	1057.1	59.9137	420.082	1.88565e-07	1.14413	11.6836	45857.9	1.5269	198.882	1.61248e-09	2.62357e-06
DTXSID90884159	DSSTox_Substance_Id	DTXSID90884159	Propanoic acid, 2-bromo-, methyl ester	C4H7BrO2	167.002	2.02929e-12	3.87157	4.27617	158.988	2.68567e-05	0.179865	3.60656	6.69552	0.939838	-17.3211	3.2817	0.17076
DTXSID90884174	DSSTox_Substance_Id	DTXSID90884174	2,6-Octadienenitrile, 3,7-dimethyl-, (2E)-	C10H15N	149.237	1.92223e-10	54.6553	4.52875	222.077	1.52674e-05	0.576983	5.06986	91.6282	2.04495	-45.4954	0.560135	0.000323098
