INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID9042338	DSSTox_Substance_Id	DTXSID9042338	Di(propylene glycol) tert-butyl ether	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9042417	DSSTox_Substance_Id	DTXSID9042417	Sodium thiosulfate	Na2O3S2	158.1	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9042465	DSSTox_Substance_Id	DTXSID9042465	Tetrasodium pyrophosphate	Na4O7P2	265.9	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9043809	DSSTox_Substance_Id	DTXSID9043809	Ethylene glycol nonylphenyl ether	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9044160	DSSTox_Substance_Id	DTXSID9044160	Manganese sulfate (1:1)	MnO4S	150.99	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9044162	DSSTox_Substance_Id	DTXSID9044162	Mercuric nitrate	HgN2O6	324.6	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9044168	DSSTox_Substance_Id	DTXSID9044168	Protein, vegetable, hydrolyzed	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9044243	DSSTox_Substance_Id	DTXSID9044243	Sodium polymetaphosphate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9044249	DSSTox_Substance_Id	DTXSID9044249	Calcium (3,5-di-tert-butyl-4-hydroxybenzyl monoethyl phosphonate)	C34H56CaO8P2	694.84	2.23802e-11	7.67979	5.50131	374.963	2.29878e-09	1.72663	9.35351	754.921	0.761114	209.891	5.00198e-08	6.78731e-05
DTXSID9044580	DSSTox_Substance_Id	DTXSID9044580	Pentaerythritol allyl ether	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9044586	DSSTox_Substance_Id	DTXSID9044586	Aluminum (2Z)-4-ethoxy-4-oxobut-2-en-2-olate propan-2-olate (1:1:2)	C12H23AlO5	274.293	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID9044902	DSSTox_Substance_Id	DTXSID9044902	Calcium neodecanoate	C20H38CaO4	382.598	1.28544e-11	3.05515	5.04689	276.296	5.3344e-07	0.29126	7.63961	186.927	0.191116	175.807	0.00145157	0.00204527
DTXSID9044904	DSSTox_Substance_Id	DTXSID9044904	C.I. Acid Blue 22	-	-	-	-	-	-	-	-	-	-	-	-	-	-
